file1,file2,bottleneck_distance
085,091,3.0672721862793
085,046,13.5472030639648
085,052,8.22285842895508
085,053,8.62142181396484
085,047,13.1420822143555
085,090,7.17485809326172
085,084,1.86117172241211
085,092,4.315185546875
085,086,1.56518173217773
085,079,3.99852752685547
085,051,8.22285842895508
085,045,14.4344482421875
085,044,12.9628219604492
085,050,8.22285842895508
085,078,4.09200286865234
085,087,3.84420776367188
085,093,4.8051872253418
085,108,7.80195617675781
085,097,4.72366333007812
085,083,2.14427947998047
085,054,8.31429290771484
085,040,11.3865432739258
085,068,3.68274307250977
085,069,2.84739303588867
085,041,12.0889053344727
085,055,8.22285842895508
085,082,3.8295783996582
085,096,4.71500015258789
085,109,9.55774688720703
085,080,4.05948257446289
085,094,4.59516525268555
085,043,10.7950134277344
085,057,8.22285842895508
085,056,8.22285842895508
085,042,10.7136840820312
085,095,4.72612762451172
085,081,3.89994430541992
085,019,12.9369049072266
085,025,10.5959243774414
085,031,7.07857513427734
085,030,7.54438781738281
085,024,10.52392578125
085,018,13.5822448730469
085,032,6.73261260986328
085,026,8.79934692382812
085,027,7.39683532714844
085,033,7.0731201171875
085,037,9.17603302001953
085,023,10.3296279907227
085,022,12.0139007568359
085,036,9.9991455078125
085,020,12.6656036376953
085,034,8.44248962402344
085,008,12.0119094848633
085,009,12.2707386016846
085,035,9.37318801879883
085,021,11.3846435546875
085,038,9.56206893920898
085,004,11.9339370727539
085,010,12.8011302947998
085,011,13.78857421875
085,005,11.8557415008545
085,039,10.9178504943848
085,013,11.5050964355469
085,007,12.4800395965576
085,006,11.9348659515381
085,012,13.0566329956055
085,016,14.1533813476562
085,002,12.0392780303955
085,003,11.9423408508301
085,017,13.8830261230469
085,001,12.1210079193115
085,015,14.0047378540039
085,029,6.53033447265625
085,028,6.07215881347656
085,014,13.7698974609375
085,000,10.8178939819336
085,107,8.44017791748047
085,098,6.26467514038086
085,067,4.40038299560547
085,073,6.01858139038086
085,072,6.16881942749023
085,066,3.59335136413574
085,099,6.23307418823242
085,106,7.54232788085938
085,104,8.1993408203125
085,110,9.85893249511719
085,058,8.07038116455078
085,070,2.32387137413025
085,064,4.21008682250977
085,065,3.72578048706055
085,071,2.32461094856262
085,059,7.03008270263672
085,111,10.2617034912109
085,105,7.32929229736328
085,101,5.45220184326172
085,075,4.00238037109375
085,061,5.1941032409668
085,049,7.96974945068359
085,048,10.5568161010742
085,060,6.21059036254883
085,074,5.36174774169922
085,100,12.8919372558594
085,102,8.49856567382812
085,089,3.94472122192383
085,062,5.59714508056641
085,076,4.0523567199707
085,077,4.02473068237305
085,063,4.51963806152344
085,088,3.18541717529297
085,103,7.91871643066406
091,046,10.8044815063477
091,052,5.95449066162109
091,053,7.09756088256836
091,047,10.3993606567383
091,090,4.10758590698242
091,084,4.35687255859375
091,092,2.13885498046875
091,086,4.15705108642578
091,079,5.37720489501953
091,051,6.97492980957031
091,045,11.6917266845703
091,044,10.220100402832
091,050,7.49283027648926
091,078,5.73175811767578
091,087,3.47314453125
091,093,3.11306762695312
091,108,8.52928924560547
091,097,3.03154373168945
091,083,3.69739151000977
